#ANNEE SESSION;SPECIALITE;NUMERO CANDIDAT;CODE EPREUVE;CODE MATIERE
2012;ES;0316055943;206; 
2012;ES;0316055953;204; 
2012;ES;0316055953;205; 
2012;ES;0316055970;207;0002
2012;ES;0316055970;209; 
2012;ES;0316055971;205; 
2012;ES;0316055971;209; 
2012;ES;0316055974;205; 
2012;ES;0316055974;207;0002
2012;ES;0316055975;206; 
2012;ES;0316055975;209; 
2012;ES;0316055988;204; 
2012;ES;0316055988;206; 
2012;ES;0316055989;204; 
2012;ES;0316055989;206; 
2012;ES;0316056013;204; 
2012;ES;0316056013;205; 
2012;ES;0316056041;204; 
2012;ES;0316056041;209; 
2012;ES;0316056063;206; 
2012;ES;0316056063;209; 
2012;ES;0316056064;205; 
2012;ES;0316056064;206; 
2012;ES;0316056066;206; 
2012;ES;0316056066;209; 
2012;ES;0316056071;204; 
2012;ES;0316056071;206; 
2012;ES;0316056082;205; 
2012;ES;0316056082;206; 
2012;ES;0316056085;204; 
2012;ES;0316056085;206; 
2012;ES;0316056093;204; 
2012;ES;0316056093;206; 
2012;ES;0316056112;205; 
2012;ES;0316056112;209; 
2012;ES;0316056118;206; 
2012;ES;0316056118;207;0002
2012;ES;0316056119;204; 
2012;ES;0316056119;207;0001
2012;ES;0316056121;206; 
2012;ES;0316056121;209; 
2012;ES;0316056125;206; 
2012;ES;0316056125;209; 
2012;ES;0316056127;204; 
2012;ES;0316056127;209; 
2012;ES;0316056139;205; 
2012;ES;0316056139;207;0002
2012;ES;0316056144;205; 
2012;ES;0316056144;206; 
2012;ES;0316056145;206; 
2012;ES;0316056145;209; 
2012;ES;0316056148;205; 
2012;ES;0316056148;206; 
2012;ES;0316056151;204; 
2012;ES;0316056151;206; 
2012;ES;0316056160;207;0002
2012;ES;0316056160;209; 
2012;ES;0316056163;206; 
2012;ES;0316056163;207;0002
2012;ES;0316056164;204; 
2012;ES;0316056164;207;0002
2012;ES;0316056166;205; 
2012;ES;0316056166;209; 
2012;ES;0316056175;206; 
2012;ES;0316056175;207;0002
2012;ES;0316056179;204; 
2012;ES;0316056179;209; 
2012;ES;0316056182;206; 
2012;ES;0316056182;207;0002
2012;ES;0316056183;206; 
2012;ES;0316056183;207;0002
2012;ES;0316056190;204; 
2012;ES;0316056190;206; 
2012;ES;0316056191;204; 
2012;ES;0316056191;206; 
